CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
강남구,논현동,아파트,75845.0,240
중구,중림동,아파트,75691.7,30
양천구,목동,아파트,75510.2,1310
영등포구,영등포동7가,아파트,75460.9,163
광진구,자양동,아파트,75049.5,579
마포구,동교동,아파트,75000.0,1
종로구,통인동,연립다세대,75000.0,1
성북구,삼선동3가,아파트,74992.3,13
서초구,내곡동,아파트,74847.5,104
중구,만리동1가,아파트,74801.1,17
강동구,고덕동,아파트,74536.2,666
성동구,행당동,아파트,74446.4,483
강동구,둔촌동,아파트,73876.6,334
용산구,문배동,아파트,73158.5,141
송파구,송파동,아파트,72940.0,278
서대문구,북아현동,아파트,72820.6,357
용산구,한남동,오피스텔,72666.7,3
종로구,신문로2가,오피스텔,72000.0,1
서대문구,냉천동,아파트,71943.3,36
성북구,보문동1가,아파트,71629.2,38
용산구,용문동,아파트,71369.6,28
성동구,성수동2가,아파트,71295.6,184
마포구,창전동,아파트,71289.2,137
영등포구,문래동3가,아파트,70880.6,99
동작구,상도동,아파트,70730.3,801
서대문구,합동,아파트,70650.0,6
영등포구,당산동4가,아파트,70192.2,198
강동구,상일동,아파트,70091.6,821
영등포구,영등포동8가,아파트,69593.5,59
송파구,문정동,아파트,69559.4,569
중구,순화동,아파트,69533.3,18
송파구,거여동,아파트,69289.7,737
종로구,필운동,아파트,69000.0,2
중구,입정동,아파트,68688.2,33
용산구,동빙고동,아파트,68000.0,1
서대문구,남가좌동,아파트,67899.5,512
은평구,증산동,아파트,67673.3,212
종로구,명륜1가,아파트,67500.0,2
종로구,명륜2가,아파트,66219.0,21
동작구,사당동,아파트,65250.7,838
성동구,도선동,아파트,65093.8,16
동대문구,용두동,아파트,64585.6,279
성동구,금호동3가,아파트,64159.4,145
중구,신당동,아파트,64136.7,466
동작구,신대방동,아파트,64064.3,347
서대문구,북가좌동,아파트,64048.7,212
은평구,수색동,아파트,63616.3,301
송파구,석촌동,아파트,63457.7,47
마포구,토정동,아파트,63293.7,47
용산구,도원동,아파트,63178.8,76
성북구,안암동1가,아파트,63126.5,17
종로구,내수동,연립다세대,63000.0,1
송파구,장지동,아파트,62655.4,874
서대문구,영천동,아파트,62484.2,30
송파구,풍납동,아파트,62253.3,340
동대문구,전농동,아파트,62061.8,401
영등포구,당산동6가,아파트,61931.8,22
마포구,마포동,오피스텔,61666.7,3
마포구,신정동,아파트,61566.9,28
마포구,도화동,아파트,61564.4,279
종로구,교북동,아파트,61294.4,18
용산구,이태원동,아파트,61145.0,63
영등포구,신길동,아파트,60821.0,876
서대문구,현저동,아파트,60775.8,62
구로구,신도림동,아파트,60442.7,406
종로구,평창동,단독다가구,60425.0,12
은평구,진관동,연립다세대,60423.1,13
성북구,보문동4가,아파트,60400.0,5
성동구,홍익동,아파트,60333.3,3
마포구,연남동,아파트,60166.7,21
영등포구,양평동3가,아파트,59947.0,115
송파구,오금동,아파트,59893.8,381
강동구,천호동,아파트,59841.7,347
용산구,문배동,단독다가구,59800.0,1
동작구,대방동,아파트,59679.4,207
강남구,수서동,아파트,59634.4,439
중구,황학동,아파트,59626.2,101
용산구,보광동,아파트,59601.9,27
중구,을지로5가,아파트,59050.0,6
용산구,산천동,아파트,58979.7,94
은평구,녹번동,아파트,58959.1,207
성북구,보문동6가,아파트,58926.1,46
강동구,암사동,아파트,58855.5,570
동작구,본동,아파트,58845.9,183
용산구,신창동,아파트,58833.3,3
성북구,보문동3가,아파트,58776.5,34
성북구,길음동,아파트,58692.6,933
강남구,세곡동,아파트,58548.0,241
성북구,삼선동4가,아파트,58464.3,7
강동구,성내동,아파트,58371.7,308
동대문구,답십리동,아파트,58338.1,573
성북구,장위동,아파트,58189.5,290
영등포구,영등포동,아파트,58055.8,176
서초구,신원동,연립다세대,58000.0,1
성동구,응봉동,아파트,57923.1,206
마포구,망원동,아파트,57848.0,143
동작구,노량진동,아파트,57532.5,270
양천구,신정동,아파트,57139.1,1985
영등포구,당산동3가,아파트,57025.6,94
성북구,삼선동2가,아파트,56997.5,38
영등포구,당산동1가,아파트,56981.9,32
마포구,중동,아파트,56980.0,70
성북구,동소문동7가,아파트,56918.2,11
영등포구,양평동5가,아파트,56856.4,86
서대문구,연희동,아파트,56647.5,57
양천구,목동,오피스텔,56533.4,211
영등포구,도림동,아파트,56452.5,67
서대문구,충정로2가,아파트,56300.0,6
은평구,응암동,아파트,56253.2,711
강동구,명일동,아파트,56126.3,555
강남구,율현동,아파트,56079.8,38
강서구,염창동,아파트,55800.9,499
성북구,동소문동5가,아파트,55666.7,3
종로구,구기동,연립다세대,55167.5,40
종로구,평창동,아파트,55035.0,23
종로구,교북동,단독다가구,55000.0,1
서초구,신원동,단독다가구,54800.0,10
성북구,하월곡동,아파트,54505.5,241
관악구,봉천동,아파트,54480.6,1071
동대문구,이문동,아파트,54332.3,417
관악구,남현동,아파트,54108.1,34
성동구,마장동,아파트,53988.7,160
종로구,당주동,아파트,53944.4,9
서대문구,홍제동,아파트,53725.6,545
성북구,종암동,아파트,53716.0,222
서초구,우면동,아파트,53504.2,612
종로구,신문로1가,아파트,53500.0,2
마포구,상암동,아파트,52864.4,444
성북구,돈암동,아파트,52825.4,361
강서구,내발산동,아파트,52768.6,451
광진구,군자동,아파트,52661.8,17
영등포구,문래동5가,아파트,52649.8,75
마포구,마포동,아파트,52544.7,38
중구,의주로1가,오피스텔,52323.9,9
영등포구,양평동4가,아파트,52269.8,41
서초구,내곡동,연립다세대,52000.0,4
강남구,자곡동,아파트,51809.5,498
용산구,원효로4가,아파트,51800.6,50
서초구,신원동,아파트,51732.1,262
중구,만리동2가,오피스텔,51590.5,21
동대문구,장안동,아파트,51466.8,294
동대문구,제기동,아파트,51396.9,64
영등포구,당산동,아파트,51172.3,94
강서구,화곡동,아파트,51154.0,639
영등포구,문래동4가,아파트,50916.7,24
동대문구,휘경동,아파트,50794.9,221
영등포구,대림동,아파트,50689.8,294
영등포구,양평동6가,아파트,50647.5,20
은평구,진관동,단독다가구,50600.0,5
성동구,송정동,아파트,50486.4,22
동대문구,청량리동,아파트,50379.9,128
강북구,미아동,아파트,50287.2,580
서대문구,천연동,아파트,50229.9,51
송파구,삼전동,아파트,50226.6,16
중랑구,면목동,아파트,50163.9,376
서초구,염곡동,연립다세대,50000.0,1
강남구,청담동,연립다세대,49915.1,74
영등포구,여의도동,오피스텔,49675.5,196
종로구,숭인동,아파트,49648.3,47
서대문구,홍은동,아파트,49568.3,311
강동구,길동,아파트,49342.7,416
성동구,용답동,아파트,49286.0,25
동대문구,신설동,아파트,49265.0,10
성북구,석관동,아파트,49256.0,139
구로구,항동,아파트,49121.8,135
종로구,체부동,연립다세대,49000.0,2
성북구,동선동4가,아파트,49000.0,1
강동구,강일동,아파트,48752.5,567
영등포구,당산동2가,아파트,48713.3,85
강남구,자곡동,단독다가구,48333.3,3
서대문구,대현동,아파트,48279.4,58
은평구,불광동,아파트,47959.2,296
영등포구,문래동6가,아파트,47922.1,101
송파구,마천동,아파트,47777.4,127
강남구,수서동,단독다가구,47750.0,2
서초구,양재동,아파트,47531.8,331
송파구,신천동,오피스텔,47239.3,14
마포구,노고산동,아파트,47119.6,23
성북구,동소문동4가,아파트,46968.8,12
중랑구,상봉동,아파트,46730.9,174
중구,북창동,오피스텔,46666.7,3
성동구,사근동,아파트,46538.9,9
성북구,보문동2가,오피스텔,46500.0,2
중랑구,망우동,아파트,46454.3,121
영등포구,문래동3가,오피스텔,46348.2,61
종로구,구기동,아파트,46133.3,3
강서구,등촌동,아파트,46097.7,632
은평구,역촌동,아파트,46046.4,48
영등포구,양평동2가,아파트,45976.1,52
강서구,마곡동,아파트,45783.6,1374
광진구,광장동,연립다세대,45706.9,48
동작구,노량진동,단독다가구,45646.3,95
중랑구,중화동,아파트,45464.1,93
종로구,평창동,연립다세대,45434.7,27
영등포구,양평동5가,단독다가구,45000.0,1
금천구,독산동,아파트,44956.3,449
강서구,공항동,아파트,44940.3,23
서초구,염곡동,단독다가구,44918.8,8
중구,묵정동,아파트,44803.0,33
중랑구,묵동,아파트,44774.6,269
성북구,상월곡동,아파트,44760.5,31
영등포구,양평동1가,아파트,44717.7,89
용산구,용산동2가,아파트,44612.5,8
종로구,가회동,단독다가구,44013.3,3
양천구,신월동,아파트,44002.7,760
성북구,정릉동,아파트,43974.3,340
강서구,마곡동,단독다가구,43833.3,3
구로구,개봉동,아파트,43781.1,424
관악구,신림동,아파트,43260.9,595
용산구,후암동,아파트,43219.0,21
성동구,옥수동,연립다세대,42981.2,8
강서구,내발산동,오피스텔,42165.0,6
영등포구,당산동2가,연립다세대,42000.0,1
종로구,창신동,아파트,41732.9,118
노원구,중계동,아파트,41405.1,1300
은평구,신사동,아파트,41248.0,267
중구,필동1가,오피스텔,41036.1,9
성북구,안암동3가,아파트,41006.0,25
영등포구,문래동6가,오피스텔,40955.6,137
강동구,강일동,단독다가구,40846.2,13
동대문구,전농동,오피스텔,40838.6,160
은평구,구산동,아파트,40707.4,34
강서구,가양동,아파트,40507.1,775
강남구,세곡동,단독다가구,40500.0,22
중구,흥인동,아파트,39713.3,15
영등포구,도림동,오피스텔,39608.3,117
서대문구,신촌동,연립다세대,39500.0,2
용산구,한강로2가,오피스텔,39454.9,134
종로구,수송동,오피스텔,39375.0,4
구로구,온수동,아파트,39213.9,56
노원구,공릉동,아파트,39138.3,561
은평구,진관동,아파트,38962.0,1103
강남구,논현동,오피스텔,38953.8,26
동대문구,회기동,아파트,38884.9,43
용산구,원효로2가,오피스텔,38692.7,41
종로구,혜화동,오피스텔,38600.0,5
서초구,반포동,연립다세대,38200.9,307
서초구,내곡동,단독다가구,38166.7,6
노원구,하계동,아파트,38097.9,581
용산구,한강로1가,오피스텔,38083.7,74
구로구,구로동,아파트,37976.7,987
중구,만리동1가,오피스텔,37901.1,9
서대문구,창천동,아파트,37900.0,5
구로구,오류동,아파트,37789.9,141
서초구,방배동,연립다세대,37734.6,818
용산구,문배동,오피스텔,37488.9,132
구로구,신도림동,오피스텔,37454.4,142
강북구,우이동,아파트,37453.1,18
서대문구,충정로3가,아파트,37433.3,27
은평구,갈현동,아파트,37390.2,79
강서구,방화동,아파트,37219.7,570
광진구,자양동,오피스텔,37103.4,65
성북구,동소문동7가,연립다세대,37000.0,1
강남구,대치동,연립다세대,36995.8,220
종로구,이화동,아파트,36700.0,1
영등포구,양평동3가,오피스텔,36505.7,100
강남구,삼성동,연립다세대,36490.1,151
종로구,부암동,연립다세대,36271.9,16
강동구,상일동,연립다세대,36250.8,60
종로구,누하동,연립다세대,36200.0,3
서초구,방배동,오피스텔,36198.3,36
영등포구,당산동2가,오피스텔,36101.6,45
서초구,서초동,연립다세대,36085.1,359
은평구,갈현동,오피스텔,36012.5,8
종로구,신영동,아파트,36000.0,2
도봉구,방학동,아파트,35691.1,346
영등포구,영등포동5가,아파트,35500.0,5
종로구,부암동,단독다가구,35469.4,9
마포구,성산동,아파트,35380.7,442
영등포구,영등포동2가,아파트,35245.5,22
구로구,고척동,아파트,35206.5,319
서초구,우면동,연립다세대,35131.1,56
용산구,이태원동,연립다세대,35101.0,143
종로구,구기동,단독다가구,35100.0,5
용산구,도원동,연립다세대,35017.0,5
종로구,효자동,연립다세대,35000.0,1
중구,회현동2가,연립다세대,35000.0,8
종로구,신교동,아파트,35000.0,1
중구,인현동2가,아파트,34958.8,36
마포구,도화동,오피스텔,34754.7,75
용산구,한강로3가,오피스텔,34737.5,17
양천구,신정동,오피스텔,34729.5,144
마포구,토정동,연립다세대,34705.0,10
동작구,동작동,연립다세대,34701.7,12
용산구,문배동,연립다세대,34666.7,3
구로구,가리봉동,아파트,34600.0,5
종로구,교북동,오피스텔,34531.4,7
중구,을지로5가,오피스텔,34520.0,5
성북구,종암동,오피스텔,34500.0,2
영등포구,당산동6가,오피스텔,34498.7,66
강남구,율현동,단독다가구,34468.6,37
금천구,시흥동,아파트,34442.9,375
서대문구,북아현동,오피스텔,34231.6,19
도봉구,도봉동,아파트,34145.9,232
노원구,월계동,아파트,34052.1,975
종로구,체부동,단독다가구,34000.0,2
구로구,항동,단독다가구,34000.0,2
도봉구,창동,아파트,33988.4,1033
용산구,원효로1가,오피스텔,33979.9,65
금천구,가산동,아파트,33829.1,53
중구,중림동,오피스텔,33721.1,54
광진구,광장동,오피스텔,33710.0,5
중구,순화동,오피스텔,33707.3,10
영등포구,당산동3가,오피스텔,33646.7,55
강남구,개포동,연립다세대,33633.9,305
서초구,양재동,연립다세대,33630.3,593
종로구,필운동,연립다세대,33455.0,4
광진구,중곡동,아파트,33392.2,27
노원구,하계동,연립다세대,33354.9,23
노원구,중계동,오피스텔,33333.6,22
종로구,홍파동,연립다세대,33333.3,3
마포구,용강동,단독다가구,33180.0,5
강남구,도곡동,연립다세대,33155.1,47
강북구,수유동,아파트,33116.6,106
용산구,남영동,연립다세대,33000.0,2
광진구,화양동,아파트,32763.3,30
성북구,성북동,연립다세대,32698.4,134
종로구,사직동,오피스텔,32675.0,8
마포구,현석동,연립다세대,32569.2,39
종로구,통인동,단독다가구,32500.0,2
송파구,문정동,오피스텔,32498.5,383
종로구,익선동,아파트,32356.2,8
송파구,송파동,오피스텔,32273.9,15
중구,황학동,오피스텔,32202.3,344
강남구,신사동,연립다세대,32198.3,55
영등포구,영등포동3가,연립다세대,32177.5,2
중구,만리동1가,연립다세대,32100.0,21
중구,정동,아파트,32054.5,22
성북구,동선동1가,아파트,32000.0,1
동작구,흑석동,연립다세대,31965.6,39
종로구,신영동,연립다세대,31871.9,31
영등포구,문래동1가,오피스텔,31833.3,3
강남구,일원동,연립다세대,31717.8,204
강남구,청담동,단독다가구,31654.5,22
용산구,원효로2가,아파트,31585.7,7
강남구,세곡동,오피스텔,31519.2,60
서대문구,합동,연립다세대,31500.0,1
중구,남산동2가,연립다세대,31500.0,1
영등포구,영등포동4가,오피스텔,31444.8,23
도봉구,쌍문동,아파트,31410.1,327
동대문구,답십리동,오피스텔,31391.7,78
송파구,잠실동,오피스텔,31238.0,70
성동구,하왕십리동,연립다세대,31233.2,57
영등포구,양평동4가,오피스텔,31185.2,63
영등포구,양평동2가,오피스텔,31158.2,144
강남구,삼성동,오피스텔,31113.4,70
구로구,궁동,아파트,31056.7,7
구로구,천왕동,연립다세대,31000.0,1
서초구,우면동,단독다가구,30986.7,12
영등포구,양평동6가,오피스텔,30982.4,124
중랑구,망우동,오피스텔,30929.7,255
용산구,동자동,오피스텔,30807.9,38
성북구,동소문동6가,연립다세대,30750.0,4
영등포구,양평동5가,오피스텔,30528.3,49
종로구,옥인동,연립다세대,30425.0,8
강남구,논현동,연립다세대,30387.9,347
성동구,행당동,연립다세대,30281.7,62
용산구,이태원동,오피스텔,30250.0,1
영등포구,당산동6가,연립다세대,30123.4,41
영등포구,양평동1가,연립다세대,30116.7,15
성북구,보문동2가,연립다세대,30027.8,8
용산구,원효로2가,연립다세대,30003.9,55
중구,필동3가,아파트,30000.0,1
종로구,낙원동,단독다가구,30000.0,1
종로구,홍지동,연립다세대,30000.0,1
영등포구,영등포동5가,단독다가구,30000.0,2
용산구,갈월동,아파트,30000.0,1
중구,필동2가,단독다가구,30000.0,1
서대문구,영천동,연립다세대,30000.0,1
영등포구,당산동3가,연립다세대,29816.7,6
서대문구,영천동,오피스텔,29800.0,2
종로구,명륜1가,연립다세대,29763.2,19
강남구,자곡동,오피스텔,29684.3,95
종로구,충신동,오피스텔,29600.0,5
송파구,방이동,오피스텔,29562.0,275
서대문구,남가좌동,오피스텔,29535.0,2
종로구,누하동,단독다가구,29475.0,4
송파구,거여동,오피스텔,29442.1,101
강동구,고덕동,오피스텔,29322.2,18
광진구,능동,아파트,29313.3,3
동대문구,신설동,연립다세대,29292.9,14
영등포구,당산동1가,오피스텔,29267.2,43
중구,신당동,연립다세대,29213.4,263
강남구,역삼동,연립다세대,29177.3,487
용산구,동빙고동,연립다세대,29155.1,35
도봉구,도봉동,오피스텔,29145.6,91
성북구,보문동7가,오피스텔,29100.0,2
서초구,양재동,오피스텔,29090.9,22
성동구,성수동1가,오피스텔,29085.6,83
영등포구,당산동,단독다가구,29000.0,1
동작구,신대방동,오피스텔,28963.5,40
마포구,구수동,연립다세대,28936.4,11
강북구,번동,아파트,28909.0,205
성동구,금호동2가,연립다세대,28875.0,8
동대문구,제기동,오피스텔,28860.0,10
용산구,효창동,연립다세대,28836.3,266
구로구,천왕동,아파트,28824.3,332
마포구,신공덕동,연립다세대,28675.8,24
성동구,홍익동,연립다세대,28500.0,9
서초구,서초동,오피스텔,28466.1,304
노원구,상계동,아파트,28272.9,3013
성북구,안암동3가,연립다세대,28214.3,7
성동구,행당동,오피스텔,28150.0,14
마포구,합정동,오피스텔,28081.0,18
마포구,공덕동,오피스텔,28069.8,164
마포구,중동,연립다세대,28069.6,41
중구,회현동1가,오피스텔,28000.0,4
강동구,둔촌동,오피스텔,27966.7,6
종로구,종로6가,연립다세대,27928.6,14
종로구,계동,단독다가구,27916.7,6
종로구,효제동,아파트,27840.0,5
송파구,방이동,연립다세대,27829.1,490
중구,광희동2가,연립다세대,27820.0,20
서초구,신원동,오피스텔,27818.8,25
마포구,마포동,연립다세대,27796.1,19
영등포구,영등포동1가,아파트,27710.3,39
영등포구,영등포동7가,연립다세대,27691.7,12
서초구,방배동,단독다가구,27679.3,189
용산구,청파동3가,연립다세대,27626.0,227
마포구,대흥동,오피스텔,27600.0,5
영등포구,문래동5가,오피스텔,27511.1,9
강남구,일원동,단독다가구,27503.7,62
용산구,후암동,연립다세대,27393.1,307
마포구,아현동,오피스텔,27383.3,24
용산구,원효로3가,오피스텔,27371.0,68
광진구,자양동,연립다세대,27331.0,928
종로구,신교동,연립다세대,27231.2,8
성동구,하왕십리동,오피스텔,27201.7,12
성북구,동소문동4가,연립다세대,27185.7,7
종로구,명륜4가,연립다세대,27150.0,2
용산구,갈월동,연립다세대,27139.9,23
강서구,내발산동,연립다세대,27102.5,93
강동구,둔촌동,연립다세대,27087.0,152
송파구,송파동,연립다세대,27084.6,404
종로구,누상동,연립다세대,27052.0,27
종로구,화동,단독다가구,27000.0,1
용산구,청파동2가,연립다세대,26979.5,75
서초구,서초동,단독다가구,26897.8,68
송파구,오금동,연립다세대,26895.2,181
중랑구,신내동,아파트,26863.5,1024
마포구,성산동,오피스텔,26850.9,136
동작구,사당동,연립다세대,26838.5,505
송파구,잠실동,연립다세대,26826.2,488
종로구,옥인동,단독다가구,26800.0,5
강남구,대치동,오피스텔,26728.3,63
송파구,문정동,연립다세대,26707.7,261
용산구,원효로1가,연립다세대,26656.8,168
서대문구,홍은동,오피스텔,26642.9,7
송파구,가락동,연립다세대,26582.6,268
강서구,염창동,오피스텔,26576.5,126
영등포구,영등포동8가,연립다세대,26525.0,4
은평구,신사동,오피스텔,26438.4,29
광진구,구의동,연립다세대,26436.4,424
중랑구,면목동,오피스텔,26402.6,62
강동구,명일동,연립다세대,26393.4,132
동대문구,청량리동,오피스텔,26372.6,70
광진구,능동,연립다세대,26364.3,108
중구,광희동1가,오피스텔,26350.0,2
종로구,낙원동,아파트,26333.3,3
마포구,동교동,연립다세대,26200.0,10
성북구,보문동7가,연립다세대,26200.0,4
마포구,신공덕동,오피스텔,26191.0,22
강동구,길동,오피스텔,26183.5,67
강남구,대치동,단독다가구,26178.4,75
성동구,도선동,오피스텔,26160.3,64
용산구,용문동,연립다세대,26140.3,256
동작구,노량진동,연립다세대,26122.7,103
용산구,원효로3가,아파트,26074.0,5
마포구,염리동,오피스텔,26044.4,9
성북구,삼선동3가,연립다세대,26000.0,6
송파구,삼전동,연립다세대,25995.8,453
성북구,동소문동4가,오피스텔,25964.3,7
강서구,염창동,연립다세대,25922.5,28
중구,광희동2가,오피스텔,25875.0,4
영등포구,영등포동5가,오피스텔,25798.1,16
성북구,삼선동4가,연립다세대,25780.3,9
송파구,삼전동,오피스텔,25733.3,24
마포구,공덕동,연립다세대,25730.8,57
동대문구,장안동,오피스텔,25718.3,279
성동구,응봉동,단독다가구,25671.4,7
종로구,내수동,오피스텔,25664.3,35
용산구,청파동1가,오피스텔,25631.2,8
중구,황학동,연립다세대,25617.6,21
중구,충무로5가,오피스텔,25600.0,5
중구,오장동,아파트,25600.0,7
서초구,잠원동,연립다세대,25565.6,32
송파구,석촌동,연립다세대,25461.4,508
중구,회현동1가,연립다세대,25445.7,49
서대문구,합동,오피스텔,25422.2,9
용산구,동자동,연립다세대,25392.9,7
영등포구,당산동1가,연립다세대,25370.0,38
용산구,청파동1가,연립다세대,25347.6,186
마포구,서교동,연립다세대,25337.0,139
강남구,개포동,오피스텔,25286.1,37
영등포구,영등포동6가,연립다세대,25269.9,14
중구,필동2가,연립다세대,25193.3,3
마포구,합정동,연립다세대,25176.5,353
강남구,역삼동,오피스텔,25133.3,230
영등포구,양평동1가,오피스텔,25110.8,42
성북구,동소문동1가,연립다세대,25037.0,3
용산구,한남동,단독다가구,25026.3,19
영등포구,영등포동5가,연립다세대,25000.0,6
성북구,동선동4가,연립다세대,25000.0,1
중구,남창동,아파트,25000.0,1
마포구,연남동,연립다세대,24995.6,98
마포구,신수동,연립다세대,24981.6,109
중구,을지로4가,오피스텔,24966.4,7
성동구,성수동1가,연립다세대,24961.7,134
송파구,석촌동,오피스텔,24940.0,16
동작구,대방동,연립다세대,24939.4,87
성북구,삼선동4가,오피스텔,24937.5,6
강동구,고덕동,연립다세대,24932.5,200
성북구,성북동1가,연립다세대,24930.0,5
광진구,군자동,연립다세대,24903.5,116
서대문구,대신동,연립다세대,24900.0,2
중구,충무로5가,아파트,24794.4,18
강동구,명일동,오피스텔,24790.9,72
영등포구,양평동2가,연립다세대,24750.0,4
강동구,암사동,연립다세대,24716.8,290
동대문구,장안동,연립다세대,24687.2,161
은평구,진관동,오피스텔,24663.6,53
광진구,중곡동,연립다세대,24644.4,540
마포구,망원동,연립다세대,24628.6,401
강동구,길동,연립다세대,24618.6,169
동대문구,답십리동,연립다세대,24601.3,99
강서구,등촌동,오피스텔,24587.8,426
송파구,가락동,오피스텔,24539.8,19
영등포구,당산동4가,연립다세대,24466.7,9
성북구,삼선동2가,연립다세대,24450.0,2
성동구,금호동3가,연립다세대,24430.0,69
용산구,주성동,연립다세대,24429.4,12
영등포구,문래동3가,연립다세대,24408.0,5
관악구,남현동,연립다세대,24361.7,65
종로구,인의동,오피스텔,24333.3,3
용산구,신계동,연립다세대,24317.0,26
서초구,잠원동,단독다가구,24312.5,16
용산구,한강로1가,연립다세대,24299.2,36
중구,예장동,연립다세대,24266.4,11
중랑구,상봉동,오피스텔,24250.7,113
강남구,수서동,오피스텔,24236.1,18
마포구,용강동,연립다세대,24211.2,60
마포구,성산동,연립다세대,24205.9,313
서대문구,연희동,연립다세대,24172.4,100
용산구,갈월동,오피스텔,24150.0,2
동작구,상도1동,연립다세대,24130.2,44
강동구,천호동,연립다세대,24128.9,549
성북구,정릉동,오피스텔,24100.0,2
성북구,삼선동1가,연립다세대,24089.6,11
서대문구,창천동,연립다세대,24086.2,75
영등포구,대림동,오피스텔,24061.5,13
영등포구,양평동6가,연립다세대,24041.2,42
종로구,사직동,연립다세대,24011.7,6
양천구,신월동,오피스텔,24009.3,30
동작구,상도1동,오피스텔,24000.0,1
종로구,통인동,아파트,24000.0,1
종로구,계동,연립다세대,24000.0,1
영등포구,영등포동2가,오피스텔,23915.4,204
강동구,성내동,연립다세대,23903.4,338
중구,을지로6가,오피스텔,23900.0,2
마포구,도화동,연립다세대,23840.0,103
성동구,마장동,오피스텔,23821.4,7
강남구,도곡동,단독다가구,23773.4,29
서초구,잠원동,오피스텔,23772.7,11
종로구,원서동,연립다세대,23709.1,11
동작구,상도동,연립다세대,23704.6,575
용산구,동빙고동,단독다가구,23693.0,20
도봉구,창동,오피스텔,23642.7,148
영등포구,영등포동8가,오피스텔,23627.6,122
영등포구,당산동4가,단독다가구,23612.5,12
서대문구,충정로3가,연립다세대,23577.8,23
동대문구,용두동,연립다세대,23544.8,155
영등포구,영등포동,연립다세대,23502.3,31
용산구,서계동,오피스텔,23500.0,5
성북구,보문동6가,연립다세대,23500.0,2
도봉구,쌍문동,오피스텔,23500.0,2
강남구,신사동,오피스텔,23500.0,1
송파구,거여동,연립다세대,23494.2,106
중랑구,면목동,연립다세대,23479.7,598
종로구,경운동,오피스텔,23475.0,6
금천구,독산동,오피스텔,23474.0,696
영등포구,영등포동7가,오피스텔,23467.4,135
마포구,대흥동,연립다세대,23459.2,81
중구,충무로3가,오피스텔,23405.0,8
마포구,상수동,연립다세대,23364.1,66
중구,흥인동,오피스텔,23340.4,16
영등포구,당산동4가,오피스텔,23327.0,15
성동구,용답동,연립다세대,23304.2,169
은평구,증산동,연립다세대,23253.5,44
